('Ciril', 'Tominac', 'M', '0941012013', 'CirilTominac0@gmail.com', '11112013', '2003-2-18', '1135454'),
('Izak', 'Maric', 'M', '0981012014', 'IzakMaric1@gmail.com', '11122014', '1932-2-1', '1135454'),
('Jeremija', 'Babic', 'M', '0941012015', 'JeremijaBabic2@gmail.com', '11132015', '1943-11-2', '1135454'),
('Lili', 'Kovacic', 'Z', '0941012016', 'LiliKovacic3@gmail.com', '11142016', '1978-11-28', '1135454'),
('Helena', 'Terzic', 'Z', '0951012017', 'HelenaTerzic4@gmail.com', '11152017', '1956-9-9', '1135454'),
('Dina', 'Sabolovic', 'Z', '0921012018', 'DinaSabolovic5@gmail.com', '11162018', '1968-7-7', '1135454'),
('Zrinislav', 'Sertic', 'M', '0971012019', 'ZrinislavSertic6@gmail.com', '11172019', '1936-4-20', '1135454'),
('Ciril', 'Tominac', 'M', '0981012020', 'CirilTominac7@gmail.com', '11182020', '1960-4-1', '1135454'),
('Kristo', 'Stuban', 'M', '0971012021', 'KristoStuban8@gmail.com', '11192021', '1961-4-17', '1135454'),
('Tia', 'Tudoric-Gemo', 'Z', '0931012022', 'TiaTudoric-Gemo9@gmail.com', '11202022', '1993-5-15', '1135454'),
('Ena', 'Sepic', 'Z', '0971012023', 'EnaSepic10@gmail.com', '11212023', '1952-10-16', '1135454'),
('Lukasa', 'Stuban', 'Z', '0951012024', 'LukasaStuban11@gmail.com', '11222024', '1937-7-25', '1135454'),
('Anamarija', 'Tominac', 'Z', '0941012025', 'AnamarijaTominac12@gmail.com', '11232025', '1979-1-13', '1135454'),
('Talia', 'Zovko', 'Z', '0951012026', 'TaliaZovko13@gmail.com', '11242026', '1943-4-19', '1135454'),
('Zoltan', 'Spajic', 'M', '0971012027', 'ZoltanSpajic14@gmail.com', '11252027', '1966-3-21', '1135454'),
('Nadia', 'Saric', 'Z', '0971012028', 'NadiaSaric15@gmail.com', '11262028', '1956-3-28', '1135454'),
('Ksaver', 'Kovacevic', 'M', '0931012029', 'KsaverKovacevic16@gmail.com', '11272029', '1984-9-15', '1135454'),
('Karolina', 'Babic', 'Z', '0911012030', 'KarolinaBabic17@gmail.com', '11282030', '1979-6-14', '1135454'),
('Jolena', 'Senjanovic', 'Z', '0951012031', 'JolenaSenjanovic18@gmail.com', '11292031', '1950-7-23', '1135454'),
('Zlata', 'Maric', 'Z', '0921012032', 'ZlataMaric19@gmail.com', '11302032', '1975-8-27', '1135454'),
('Valentina', 'Horvat', 'Z', '0931012033', 'ValentinaHorvat20@gmail.com', '11312033', '1976-7-9', '1135454'),
('Fernand', 'Horvat', 'M', '0931012034', 'FernandHorvat21@gmail.com', '11322034', '1949-12-21', '1135454'),
('Dino', 'Stipetic', 'M', '0981012035', 'DinoStipetic22@gmail.com', '11332035', '1968-5-24', '1135454'),
('Izak', 'Sneberger', 'M', '0911012036', 'IzakSneberger23@gmail.com', '11342036', '1964-5-8', '1135454'),
('Zaria', 'Zlataric', 'Z', '0941012037', 'ZariaZlataric24@gmail.com', '11352037', '1945-8-15', '1135454'),
('Viktoria', 'Maric', 'Z', '0991012038', 'ViktoriaMaric25@gmail.com', '11362038', '1979-1-18', '1135454'),
('Lovorko', 'Tominac', 'M', '0941012039', 'LovorkoTominac26@gmail.com', '11372039', '1995-3-6', '1135454'),
('Zvjezdana', 'Horvat', 'Z', '0931012040', 'ZvjezdanaHorvat27@gmail.com', '11382040', '1985-7-19', '1135454'),
('Marina', 'Vukelici', 'Z', '0971012041', 'MarinaVukelici28@gmail.com', '11392041', '1986-12-13', '1135454'),
('Ares', 'Sunjo', 'M', '0931012042', 'AresSunjo29@gmail.com', '11402042', '1946-3-1', '1135454'),
('Evelin', 'Sebalj', 'Z', '0911012043', 'EvelinSebalj30@gmail.com', '11412043', '1978-2-2', '1135454'),
('Leona', 'Novak', 'Z', '0911012044', 'LeonaNovak31@gmail.com', '11422044', '1941-5-9', '1135454'),
('Stela', 'Vrankovic', 'Z', '0961012045', 'StelaVrankovic32@gmail.com', '11432045', '1998-12-23', '1135454'),
('Zaria', 'Zlataric', 'Z', '0961012046', 'ZariaZlataric33@gmail.com', '11442046', '1960-8-14', '1135454'),
('Arav', 'Tomasic', 'M', '0981012047', 'AravTomasic34@gmail.com', '11452047', '1960-11-11', '1135454'),
('Jordan', 'Tartaglia', 'M', '0941012048', 'JordanTartaglia35@gmail.com', '11462048', '1987-5-1', '1135454'),
('Kina', 'Terzic', 'Z', '0931012049', 'KinaTerzic36@gmail.com', '11472049', '1969-3-11', '1135454'),
('Barbara', 'Sneberger', 'Z', '0991012050', 'BarbaraSneberger37@gmail.com', '11482050', '1968-10-8', '1135454'),
('Gradislav', 'Simic', 'M', '0971012051', 'GradislavSimic38@gmail.com', '11492051', '1996-9-28', '1135454'),
('Rina', 'Siljeg', 'Z', '0931012052', 'RinaSiljeg39@gmail.com', '11502052', '1973-8-12', '1135454'),
('Eli', 'Tominac', 'M', '0951012053', 'EliTominac40@gmail.com', '11512053', '1951-4-21', '1135454'),
('Ana', 'Sertic', 'Z', '0991012054', 'AnaSertic41@gmail.com', '11522054', '2003-12-26', '1135454'),
('Bogoljub', 'Skok', 'M', '0931012055', 'BogoljubSkok42@gmail.com', '11532055', '2000-10-3', '1135454'),
('Viseslav', 'Stuban', 'M', '0921012056', 'ViseslavStuban43@gmail.com', '11542056', '1997-12-10', '1135454'),
('Soda', 'Zovko', 'Z', '0931012057', 'SodaZovko44@gmail.com', '11552057', '1960-9-10', '1135454'),
('Lilia', 'Saric', 'Z', '0961012058', 'LiliaSaric45@gmail.com', '11562058', '1966-5-9', '1135454'),
('Sime', 'Senjanovic', 'M', '0941012059', 'SimeSenjanovic46@gmail.com', '11572059', '1949-6-3', '1135454'),
('Kresimir', 'Novak', 'M', '0951012060', 'KresimirNovak47@gmail.com', '11582060', '1991-5-19', '1135454'),
('Kristofer', 'Horvat', 'M', '0971012061', 'KristoferHorvat48@gmail.com', '11592061', '1939-4-9', '1135454'),
('Vladislav', 'Tudoric-Gemo', 'M', '0941012062', 'VladislavTudoric-Gemo49@gmail.com', '11602062', '1962-10-21', '1135454'),
('Alijah', 'Vucetic', 'M', '0921012063', 'AlijahVucetic50@gmail.com', '11612063', '1937-7-25', '1135454'),
('Dmitar', 'Sneberger', 'M', '0911012064', 'DmitarSneberger51@gmail.com', '11622064', '1958-9-10', '1135454'),
('Jeremija', 'Zlataric', 'M', '0991012065', 'JeremijaZlataric52@gmail.com', '11632065', '1962-9-11', '1135454'),
('Ian', 'Skific', 'M', '0941012066', 'IanSkific53@gmail.com', '11642066', '1948-10-25', '1135454'),
('Rivka', 'Tokic', 'Z', '0971012067', 'RivkaTokic54@gmail.com', '11652067', '1931-1-17', '1135454'),
('Leana', 'Tominac', 'Z', '0921012068', 'LeanaTominac55@gmail.com', '11662068', '1953-5-18', '1135454'),
('Bogoljub', 'Sabolovic', 'M', '0971012069', 'BogoljubSabolovic56@gmail.com', '11672069', '1946-3-18', '1135454'),
('Alfred', 'Sunjo', 'M', '0921012070', 'AlfredSunjo57@gmail.com', '11682070', '1939-10-17', '1135454'),
('Drzimir', 'Zuvela', 'M', '0951012071', 'DrzimirZuvela58@gmail.com', '11692071', '1974-4-10', '1135454'),
('Aleksandar', 'Terzic', 'M', '0951012072', 'AleksandarTerzic59@gmail.com', '11702072', '1999-4-3', '1135454'),
('Florijan', 'Skok', 'M', '0921012073', 'FlorijanSkok60@gmail.com', '11712073', '1965-6-16', '1135454'),
('Franka', 'Sneberger', 'Z', '0981012074', 'FrankaSneberger61@gmail.com', '11722074', '1983-3-24', '1135454'),
('Zola', 'Terzic', 'Z', '0931012075', 'ZolaTerzic62@gmail.com', '11732075', '1956-11-4', '1135454'),
('Franko', 'Saric', 'M', '0941012076', 'FrankoSaric63@gmail.com', '11742076', '1991-4-26', '1135454'),
('Zaria', 'Siljeg', 'Z', '0951012077', 'ZariaSiljeg64@gmail.com', '11752077', '1977-1-27', '1135454'),
('Kalisa', 'Babic', 'Z', '0971012078', 'KalisaBabic65@gmail.com', '11762078', '1993-7-8', '1135454'),
('Iskra', 'Vucetic', 'Z', '0911012079', 'IskraVucetic66@gmail.com', '11772079', '1966-3-13', '1135454'),
('Kaja', 'Sneberger', 'Z', '0921012080', 'KajaSneberger67@gmail.com', '11782080', '1972-10-24', '1135454'),
('Analia', 'Sebalj', 'Z', '0971012081', 'AnaliaSebalj68@gmail.com', '11792081', '1975-12-4', '1135454'),
('Ira', 'Maric', 'Z', '0961012082', 'IraMaric69@gmail.com', '11802082', '1938-4-9', '1135454'),
('Alina', 'Tomasic', 'Z', '0911012083', 'AlinaTomasic70@gmail.com', '11812083', '1934-2-26', '1135454'),
('Rosalia', 'Maric', 'Z', '0941012084', 'RosaliaMaric71@gmail.com', '11822084', '1987-11-2', '1135454'),
('Nala', 'Saric', 'Z', '0961012085', 'NalaSaric72@gmail.com', '11832085', '1963-1-20', '1135454'),
('Nira', 'Vucetic', 'Z', '0931012086', 'NiraVucetic73@gmail.com', '11842086', '1995-8-25', '1135454'),
('Gordan', 'Saric', 'M', '0921012087', 'GordanSaric74@gmail.com', '11852087', '1968-2-4', '1135454'),
('Roko', 'Sertic', 'M', '0981012088', 'RokoSertic75@gmail.com', '11862088', '1936-11-12', '1135454'),
('Beatrica', 'Vukelici', 'Z', '0921012089', 'BeatricaVukelici76@gmail.com', '11872089', '1980-7-17', '1135454'),
('Ankica', 'Slunjski', 'Z', '0951012090', 'AnkicaSlunjski77@gmail.com', '11882090', '1970-4-19', '1135454'),
('Adam', 'Zuvela', 'M', '0941012091', 'AdamZuvela78@gmail.com', '11892091', '1941-1-9', '1135454'),
('Ivor', 'Sabolovic', 'M', '0971012092', 'IvorSabolovic79@gmail.com', '11902092', '1988-8-14', '1135454'),
('Dajana', 'Sunjo', 'Z', '0991012093', 'DajanaSunjo80@gmail.com', '11912093', '1998-9-20', '1135454'),
('Levi', 'Vukovic', 'M', '0981012094', 'LeviVukovic81@gmail.com', '11922094', '1970-2-1', '1135454'),
('Jaroslav', 'Maric', 'M', '0941012095', 'JaroslavMaric82@gmail.com', '11932095', '1982-10-28', '1135454'),
('Gaj', 'Vukelici', 'M', '0931012096', 'GajVukelici83@gmail.com', '11942096', '1993-3-23', '1135454'),
('Gordan', 'Tominac', 'M', '0961012097', 'GordanTominac84@gmail.com', '11952097', '1968-9-26', '1135454'),
('Chaja', 'Sertic', 'Z', '0981012098', 'ChajaSertic85@gmail.com', '11962098', '1929-9-27', '1135454'),
('Evelin', 'Tokic', 'Z', '0951012099', 'EvelinTokic86@gmail.com', '11972099', '1991-1-9', '1135454'),
('Kresimir', 'Kovacic', 'M', '0951012100', 'KresimirKovacic87@gmail.com', '11982100', '1955-6-27', '1135454'),
('Kamila', 'Stipetic', 'Z', '0941012101', 'KamilaStipetic88@gmail.com', '11992101', '1969-4-22', '1135454'),
('Tatjana', 'Tominac', 'Z', '0911012102', 'TatjanaTominac89@gmail.com', '12002102', '1963-2-22', '1135454'),
('Sumka', 'Tokic', 'Z', '0941012103', 'SumkaTokic90@gmail.com', '12012103', '1978-1-4', '1135454'),
('Kalen', 'Zeljko', 'M', '0991012104', 'KalenZeljko91@gmail.com', '12022104', '1980-11-4', '1135454'),
('Neven', 'Tudoric-Gemo', 'M', '0951012105', 'NevenTudoric-Gemo92@gmail.com', '12032105', '1973-11-11', '1135454'),
('Aco', 'Skific', 'M', '0951012106', 'AcoSkific93@gmail.com', '12042106', '1963-11-11', '1135454'),
('Slaven', 'Juric', 'M', '0951012107', 'SlavenJuric94@gmail.com', '12052107', '1946-4-12', '1135454'),
('Oton', 'Knezevic', 'M', '0931012108', 'OtonKnezevic95@gmail.com', '12062108', '1969-6-27', '1135454'),
